,Modelo_Completo,Modelo_PCA,Porcentaje_de_error
RMSE,0.5784069358899064,0.6119408840925795,5.8
MAE,0.46285821296108426,0.49250264597935195,6.4
MAPE,0.08669084789370228,0.09164805505444656,5.72
