,mean_time,mean_score_test,mean_score_train
154,0.008126417795817057,0.8881980407032358,0.9202552163312033
155,0.01240102450052897,0.9147819521867087,0.9386213071053651
156,0.021813472112019856,0.9139903171304695,0.949571795760888
157,0.04280877113342285,0.9155607598230548,0.9421483964356675
158,0.1307214101155599,0.9014872477121382,0.9398005199360812
159,0.24943232536315918,0.915564424800167,0.9507459633402866
160,0.003882328669230143,0.7107013666699652,0.7208911931927634
161,0.004699309666951497,0.760730136740296,0.7818699352556658
162,0.007480621337890625,0.8021920228108176,0.8268212898597787
163,0.012658834457397461,0.8796018368865286,0.9046190651791431
164,0.021703004837036133,0.8960154368835966,0.9120429231635744
165,0.04156025250752767,0.8905491235207236,0.9093083969493657
166,0.12183602650960286,0.8772599165118214,0.8948363228740687
167,0.24269787470499674,0.888201705680348,0.9065702014614717
168,0.003633737564086914,0.7771034219891297,0.7721298482571868
169,0.004843393961588542,0.7982191876211733,0.837399805895422
170,0.0071544647216796875,0.8623672820163238,0.8792153074759618
171,0.012505531311035156,0.8975748846448454,0.9159566622084991
172,0.022547801335652668,0.9038291680868453,0.9222063526135319
173,0.040097316106160484,0.9014872477121382,0.919470909080902
174,0.12386767069498698,0.8842930075901676,0.9069586858129367
175,0.24954922993977866,0.8967997419856113,0.9159525342756027
176,0.0037456353505452475,0.7778913920682565,0.7736920415288396
177,0.0053005218505859375,0.8060475787328708,0.8459978314592518
178,0.007885058720906576,0.8639450546631336,0.896808098820879
179,0.012327353159586588,0.9093138063352795,0.9272919659418016
180,0.02276770273844401,0.91164473177865,0.9308103407471009
181,0.04240226745605469,0.9093064763810551,0.924164368784021
182,0.12708282470703125,0.891326098668514,0.9159516169571814
183,0.25363413492838544,0.9022697203255966,0.9245537704539074
184,0.0038265387217203775,0.7904091213950369,0.7908871753380778
185,0.005499203999837239,0.8154335851172609,0.8491254286170324
186,0.007726987202962239,0.8655099998900507,0.9007158752960646
187,0.012509584426879883,0.9116538942214306,0.9311979077801444
188,0.023013989130655926,0.9124235394149963,0.940581157912697
189,0.04272905985514323,0.9124308693692208,0.9351111881658585
190,0.13049578666687012,0.8960136043950406,0.9284624642475144
191,0.24894070625305176,0.9069590585406795,0.9362835211084142
192,0.0037222703297932944,0.7959084195519198,0.8076878622261118
193,0.004826784133911133,0.8201412482179049,0.8674924367096155
194,0.007833639780680338,0.8881980407032358,0.9202552163312033
195,0.011840581893920898,0.9147819521867087,0.9386213071053651
196,0.02206309636433919,0.9139903171304695,0.949571795760888
197,0.04253649711608887,0.9155607598230548,0.9421483964356675
198,0.12733745574951172,0.9014872477121382,0.9398005199360812
199,0.2545495827992757,0.915564424800167,0.9507459633402866
200,0.0035895506540934243,0.8076968184333687,0.8205537117455285
201,0.0048783620198567705,0.8756894738192359,0.8772522460541547
202,0.007238944371541341,0.8608609764232021,0.8694256852827267
203,0.011740684509277344,0.8733457209559726,0.8889755754797116
204,0.02117149035135905,0.9038291680868453,0.9116526041752665
205,0.04007434844970703,0.9014909126892503,0.9120406298675209
206,0.12137484550476074,0.8796164967949776,0.8924911983297467
207,0.2394737402598063,0.8819565846811286,0.8983565323162107
208,0.0035247802734375,0.8092617636602859,0.8225075999831214
209,0.0046842098236083984,0.8788156992959579,0.8823323554718961
210,0.007913668950398764,0.8757041337276849,0.881535205763695
211,0.011426607767740885,0.9022807152569333,0.9194644878519521
212,0.02212834358215332,0.9171183750957476,0.9222100218872176
213,0.04263710975646973,0.9093101413581671,0.920644159341879
214,0.12750562032063803,0.8999351299051138,0.9147779080369935
215,0.2530018488566081,0.8983665197010845,0.9175147275472556
216,0.0036939779917399087,0.8287759342942903,0.8448021068969503
217,0.004828055699666341,0.8842746827046065,0.8870248978565938
218,0.007361888885498047,0.9014927451778063,0.9155557940583452
219,0.011916240056355795,0.9132151744712355,0.9272878380089052
220,0.02275681495666504,0.9202482655495817,0.9335448669613093
221,0.04356575012207031,0.9186851528112207,0.9315914373829273
222,0.12773903210957846,0.9069718859605721,0.9319808390528137
223,0.25548593203226727,0.9038419955067382,0.9331527133361588
224,0.005706230799357097,0.8459701744162608,0.8577046491532233
225,0.005192677179972331,0.8850608202951773,0.8901524950143743
226,0.007967948913574219,0.9030521929390551,0.916341018627068
227,0.013894875844319662,0.9155515973802744,0.9366706294822471
228,0.023162682851155598,0.9249431012303327,0.9456640192857025
229,0.046366612116495766,0.9264988840144693,0.9444916863431468
230,0.13606786727905273,0.9155717547543915,0.944489851706304
231,0.265899658203125,0.9186979802311134,0.9433202707190125
232,0.004023075103759766,0.853005097983163,0.8643506211163031
233,0.005504449208577474,0.8827170674319139,0.8917174402412914
234,0.008199532826741537,0.9069663884949039,0.926895225724544
235,0.01300970713297526,0.9194731228903475,0.9425332115134469
236,0.02290829022725423,0.9265117114343621,0.951917378964421
237,0.04618962605794271,0.9288463018548448,0.9503551856927682
238,0.13459078470865884,0.9296361044225279,0.9546541984746829
239,0.2656995455423991,0.9272923515592645,0.9538749364756992
240,0.0041962464650472,0.7107013666699652,0.7208911931927634
241,0.005275567372639974,0.760730136740296,0.7818699352556658
242,0.0076448917388916016,0.8021920228108176,0.8268212898597787
243,0.013312578201293945,0.8796018368865286,0.9046190651791431
244,0.02345752716064453,0.8960154368835966,0.9120429231635744
245,0.04217839241027832,0.8905491235207236,0.9093083969493657
246,0.13332891464233398,0.8772599165118214,0.8948363228740687
247,0.26063084602355957,0.888201705680348,0.9065702014614717
248,0.004181861877441406,0.7771034219891297,0.7721298482571868
249,0.005071163177490234,0.7982191876211733,0.837399805895422
250,0.007874170939127604,0.8623672820163238,0.8792153074759618
251,0.013756990432739258,0.8975748846448454,0.9159566622084991
252,0.02461870511372884,0.9038291680868453,0.9222063526135319
253,0.04315900802612305,0.9014872477121382,0.919470909080902
254,0.13360993067423502,0.8842930075901676,0.9069586858129367
255,0.2652716636657715,0.8967997419856113,0.9159525342756027
256,0.003829399744669596,0.7778913920682565,0.7736920415288396
257,0.005391518274943034,0.8060475787328708,0.8459978314592518
258,0.007990360260009766,0.8639450546631336,0.896808098820879
259,0.013181845347086588,0.9093138063352795,0.9272919659418016
260,0.022615989049275715,0.91164473177865,0.9308103407471009
261,0.04719972610473633,0.9093064763810551,0.924164368784021
262,0.13574989636739096,0.891326098668514,0.9159516169571814
263,0.2605437437693278,0.9022697203255966,0.9245537704539074
